date,home_team,away_team,home_score,away_score,home_shots_on_target,away_shots_on_target,source
2026-06-12,United States,Paraguay,4,1,,,Guardian match report
2026-06-13,Brazil,Morocco,1,1,,,Barca Blaugranes / Times of India match report
2026-06-13,Haiti,Scotland,0,1,,,Times of India / The Sun match report
2026-06-19,Brazil,Haiti,3,0,,,Guardian match report
2026-06-19,Scotland,Morocco,0,1,,,Guardian match report
2026-06-19,Turkey,Paraguay,0,1,,,Guardian match report
2026-06-19,United States,Australia,2,0,,,New York Post / Times of India match report
